n_fibers,particle_radius,adhesion_depth,aspect_ratio,mean_pore_radius,simulated_exponent,baseline_exponent,residual,n_steps,seed
500,0.5,0.0,1.0,1.4605934866804429,0.9639767666931938,1.0,-0.036023233306806235,900,20260867
500,0.5,0.0,2.0,1.4605934866804429,0.955082756020153,1.0,-0.04491724397984698,1799,20260868
500,0.5,0.0,4.0,1.4605934866804429,0.9899251057931898,1.0,-0.010074894206810181,1860,20260869
500,0.5,1.5,1.0,1.4605934866804429,0.9092233066914207,1.0,-0.09077669330857929,900,20260870
500,0.5,1.5,2.0,1.4605934866804429,0.805855469061707,1.0,-0.19414453093829298,1799,20260871
500,0.5,1.5,4.0,1.4605934866804429,0.905534194858799,1.0,-0.09446580514120095,1860,20260872
500,0.5,3.5,1.0,1.4605934866804429,0.8179457309862105,1.0,-0.18205426901378952,900,20260873
500,0.5,3.5,2.0,1.4605934866804429,0.6942247652419049,1.0,-0.3057752347580951,1799,20260874
500,0.5,3.5,4.0,1.4605934866804429,0.7834195106751098,1.0,-0.21658048932489016,1860,20260875
500,0.8,0.0,1.0,1.4605934866804429,0.8310120558278945,1.0,-0.1689879441721055,1440,20260876
500,0.8,0.0,2.0,1.4605934866804429,0.8888732047533358,1.0,-0.11112679524666425,2878,20260877
500,0.8,0.0,4.0,1.4605934866804429,0.9470628404869089,1.0,-0.05293715951309108,2977,20260878
500,0.8,1.5,1.0,1.4605934866804429,0.7632860809118884,1.0,-0.23671391908811157,1440,20260879
500,0.8,1.5,2.0,1.4605934866804429,0.8055401543452857,1.0,-0.1944598456547143,2878,20260880
500,0.8,1.5,4.0,1.4605934866804429,0.8697956254476903,1.0,-0.1302043745523097,2977,20260881
500,0.8,3.5,1.0,1.4605934866804429,0.6899797995462169,1.0,-0.3100202004537831,1440,20260882
500,0.8,3.5,2.0,1.4605934866804429,0.7155806432858749,1.0,-0.2844193567141251,2878,20260883
500,0.8,3.5,4.0,1.4605934866804429,0.8222191449416941,1.0,-0.17778085505830588,2977,20260884
